countyFIPS,NUM_LICENSED_BEDS
01001,85.0
01003,386.0
01005,74.0
01007,35.0
01009,25.0
01011,61.0
01013,72.0
01015,486.0
01017,115.0
01019,60.0
01021,30.0
01023,25.0
01025,85.0
01027,45.0
01031,131.0
01033,383.0
01035,58.0
01039,187.0
01041,93.0
01043,185.0
01045,89.0
01047,175.0
01049,134.0
01051,138.0
01053,142.0
01055,739.0
01057,61.0
01059,125.0
01061,83.0
01063,20.0
01065,39.0
01069,790.0
01071,170.0
01073,4768.0
01077,263.0
01079,98.0
01081,314.0
01083,102.0
01087,143.0
01089,1241.0
01091,99.0
01093,120.0
01095,150.0
01097,1930.0
01099,94.0
01101,1204.0
01103,273.0
01109,97.0
01111,15.0
01113,128.0
01115,40.0
01117,286.0
01119,33.0
01121,290.0
01123,127.0
01125,1099.0
01127,267.0
01129,25.0
01131,30.0
01133,49.0
02020,1152.0
02050,50.0
02070,16.0
02090,175.0
02110,73.0
02122,77.0
02130,25.0
02150,25.0
02170,125.0
02180,18.0
02185,10.0
02188,17.0
02195,12.0
02220,25.0
02261,24.0
02275,8.0
04001,162.0
04003,160.0
04005,418.0
04007,50.0
04009,176.0
04012,42.0
04013,11544.0
04015,610.0
04017,188.0
04019,3727.0
04021,401.0
04023,25.0
04025,385.0
04027,457.0
05001,74.0
05003,33.0
05005,268.0
05007,342.0
05009,174.0
05011,33.0
05015,40.0
05017,35.0
05019,25.0
05021,25.0
05023,25.0
05027,49.0
05029,25.0
05031,730.0
05033,103.0
05035,65.0
05037,25.0
05039,25.0
05041,50.0
05043,49.0
05045,357.0
05047,25.0
05049,25.0
05051,562.0
05055,129.0
05057,79.0
05059,72.0
05061,20.0
05063,235.0
05065,25.0
05069,471.0
05071,90.0
05075,25.0
05081,25.0
05083,41.0
05091,62.0
05093,124.0
05103,98.0
05107,155.0
05113,65.0
05115,170.0
05119,4324.0
05121,50.0
05123,118.0
05125,257.0
05127,24.0
05131,1081.0
05137,25.0
05139,166.0
05141,25.0
05143,1068.0
05145,465.0
05149,76.0
06001,3464.0
06005,52.0
06007,471.0
06009,25.0
06013,1696.0
06015,49.0
06017,190.0
06019,1902.0
06021,47.0
06023,276.0
06025,268.0
06027,29.0
06029,1560.0
06031,173.0
06033,62.0
06035,25.0
06037,24749.0
06039,464.0
06041,441.0
06043,18.0
06045,142.0
06047,242.0
06049,20.0
06051,17.0
06053,747.0
06055,510.0
06057,137.0
06059,5982.0
06061,748.0
06063,35.0
06065,3537.0
06067,3345.0
06069,25.0
06071,4837.0
06073,6618.0
06075,2860.0
06077,2161.0
06079,780.0
06081,2328.0
06083,826.0
06085,4382.0
06087,372.0
06089,590.0
06093,61.0
06095,1519.0
06097,817.0
06099,1394.0
06101,30.0
06103,92.0
06105,25.0
06107,830.0
06109,72.0
06111,1379.0
06113,122.0
06115,221.0
08001,1741.0
08003,49.0
08005,1241.0
08007,11.0
08009,23.0
08013,856.0
08014,40.0
08015,25.0
08017,25.0
08021,17.0
08029,49.0
08031,3071.0
08035,778.0
08037,56.0
08041,1412.0
08043,25.0
08045,103.0
08049,23.0
08051,24.0
08055,20.0
08059,641.0
08061,25.0
08063,19.0
08065,25.0
08067,94.0
08069,742.0
08071,25.0
08073,15.0
08075,25.0
08077,548.0
08081,25.0
08083,25.0
08085,75.0
08087,75.0
08089,25.0
08095,40.0
08097,25.0
08099,25.0
08101,1252.0
08103,35.0
08105,17.0
08107,39.0
08115,15.0
08117,35.0
08119,15.0
08123,428.0
08125,30.0
09001,1694.0
09003,3065.0
09005,157.0
09007,714.0
09009,1721.0
09011,419.0
09013,209.0
09015,144.0
10001,404.0
10003,2156.0
10005,567.0
11001,4262.0
12001,2050.0
12003,1163.0
12005,707.0
12007,49.0
12009,1807.0
12011,6025.0
12013,25.0
12015,715.0
12017,332.0
12019,503.0
12021,633.0
12023,468.0
12027,49.0
12031,3456.0
12033,1648.0
12035,99.0
12037,25.0
12039,949.0
12045,19.0
12049,25.0
12051,25.0
12053,616.0
12055,273.0
12057,4471.0
12059,20.0
12061,566.0
12063,100.0
12069,851.0
12071,1614.0
12073,1208.0
12079,25.0
12081,895.0
12083,910.0
12085,388.0
12086,7842.0
12087,147.0
12089,62.0
12091,493.0
12093,100.0
12095,3177.0
12097,628.0
12099,4440.0
12101,1407.0
12103,3874.0
12105,1736.0
12107,99.0
12109,335.0
12111,873.0
12113,355.0
12115,1542.0
12117,345.0
12119,347.0
12121,25.0
12123,48.0
12125,145.0
12127,1453.0
12131,136.0
12133,59.0
13001,49.0
13005,25.0
13009,365.0
13013,56.0
13015,119.0
13017,75.0
13019,63.0
13021,1184.0
13023,25.0
13027,25.0
13031,195.0
13033,40.0
13035,25.0
13039,40.0
13043,25.0
13045,326.0
13047,179.0
13051,1569.0
13053,250.0
13057,126.0
13059,597.0
13063,538.0
13065,25.0
13067,1346.0
13069,88.0
13071,168.0
13075,33.0
13077,254.0
13081,73.0
13083,36.0
13087,80.0
13089,2834.0
13091,94.0
13095,691.0
13097,108.0
13099,25.0
13103,25.0
13105,25.0
13107,72.0
13109,49.0
13111,50.0
13113,282.0
13115,514.0
13117,304.0
13119,56.0
13121,4682.0
13127,401.0
13129,69.0
13131,60.0
13133,50.0
13135,848.0
13137,53.0
13139,657.0
13143,25.0
13151,215.0
13153,276.0
13155,34.0
13157,90.0
13159,17.0
13161,35.0
13163,37.0
13165,25.0
13173,25.0
13175,530.0
13179,64.0
13185,443.0
13187,52.0
13189,25.0
13193,49.0
13199,109.0
13201,25.0
13205,25.0
13207,25.0
13211,25.0
13213,42.0
13215,1167.0
13217,101.0
13223,112.0
13225,25.0
13227,52.0
13233,25.0
13235,49.0
13241,25.0
13243,25.0
13245,3038.0
13247,138.0
13251,25.0
13253,65.0
13255,160.0
13257,96.0
13261,76.0
13267,25.0
13275,264.0
13277,241.0
13279,57.0
13281,25.0
13285,276.0
13291,45.0
13293,115.0
13297,165.0
13299,231.0
13303,56.0
13305,88.0
13313,282.0
13317,25.0
13321,25.0
15001,333.0
15003,2731.0
15007,111.0
15009,247.0
16001,1351.0
16005,205.0
16007,21.0
16009,19.0
16011,153.0
16013,25.0
16017,25.0
16019,420.0
16021,20.0
16023,14.0
16027,343.0
16029,25.0
16031,25.0
16035,83.0
16039,25.0
16041,20.0
16045,16.0
16047,18.0
16049,41.0
16053,25.0
16055,434.0
16057,25.0
16059,18.0
16065,69.0
16067,25.0
16069,145.0
16071,11.0
16077,10.0
16079,25.0
16081,13.0
16083,224.0
16085,25.0
16087,25.0
17001,307.0
17005,42.0
17011,94.0
17019,680.0
17021,47.0
17025,20.0
17027,70.0
17029,149.0
17031,19529.0
17033,63.0
17037,192.0
17039,25.0
17043,1928.0
17045,25.0
17049,133.0
17051,110.0
17053,41.0
17055,16.0
17057,87.0
17061,25.0
17063,89.0
17065,25.0
17067,18.0
17069,25.0
17073,86.0
17075,25.0
17077,179.0
17081,181.0
17083,65.0
17085,25.0
17089,1483.0
17091,500.0
17095,254.0
17097,1119.0
17099,171.0
17101,25.0
17103,80.0
17105,42.0
17107,25.0
17109,60.0
17111,370.0
17113,370.0
17115,544.0
17117,50.0
17119,953.0
17121,149.0
17125,25.0
17127,25.0
17131,22.0
17135,50.0
17137,131.0
17141,16.0
17143,1226.0
17145,42.0
17147,16.0
17149,35.0
17157,171.0
17159,134.0
17161,472.0
17163,736.0
17165,102.0
17167,1159.0
17169,22.0
17173,30.0
17177,100.0
17179,132.0
17181,135.0
17183,599.0
17185,25.0
17187,23.0
17189,50.0
17191,55.0
17195,123.0
17197,1023.0
17199,327.0
17201,988.0
17203,25.0
18001,25.0
18003,1630.0
18005,225.0
18009,15.0
18011,68.0
18017,165.0
18019,253.0
18021,25.0
18023,25.0
18027,42.0
18029,102.0
18031,25.0
18033,37.0
18035,377.0
18037,111.0
18039,338.0
18043,280.0
18049,25.0
18051,25.0
18053,347.0
18055,25.0
18057,610.0
18059,73.0
18061,25.0
18063,260.0
18065,48.0
18067,250.0
18069,36.0
18071,91.0
18073,25.0
18075,25.0
18077,238.0
18079,25.0
18081,195.0
18083,99.0
18085,88.0
18087,25.0
18089,1737.0
18091,278.0
18093,50.0
18095,303.0
18097,4059.0
18099,160.0
18103,25.0
18105,357.0
18107,29.0
18109,83.0
18113,47.0
18117,24.0
18123,25.0
18127,292.0
18131,25.0
18133,25.0
18135,25.0
18137,25.0
18139,25.0
18141,837.0
18143,25.0
18145,46.0
18149,15.0
18151,25.0
18153,25.0
18157,477.0
18159,25.0
18163,993.0
18165,25.0
18167,494.0
18169,18.0
18171,16.0
18173,338.0
18175,25.0
18177,376.0
18179,55.0
18181,25.0
18183,30.0
19001,25.0
19003,22.0
19005,25.0
19007,45.0
19009,25.0
19011,25.0
19013,675.0
19015,42.0
19017,50.0
19019,120.0
19021,35.0
19025,25.0
19027,116.0
19029,33.0
19033,346.0
19035,83.0
19037,18.0
19039,25.0
19041,99.0
19043,50.0
19045,265.0
19047,25.0
19049,25.0
19051,25.0
19053,25.0
19055,25.0
19057,213.0
19059,49.0
19061,470.0
19063,25.0
19065,50.0
19067,25.0
19069,25.0
19071,25.0
19073,25.0
19075,80.0
19077,25.0
19079,25.0
19081,25.0
19083,35.0
19085,25.0
19087,74.0
19089,19.0
19091,49.0
19093,25.0
19095,25.0
19097,25.0
19099,68.0
19101,25.0
19103,1476.0
19105,22.0
19107,25.0
19109,25.0
19111,121.0
19113,994.0
19117,25.0
19119,25.0
19121,25.0
19123,33.0
19125,50.0
19127,125.0
19131,25.0
19133,25.0
19135,25.0
19137,25.0
19139,48.0
19141,39.0
19143,25.0
19145,50.0
19147,47.0
19149,25.0
19151,25.0
19153,1671.0
19155,514.0
19157,49.0
19159,16.0
19161,25.0
19163,691.0
19165,25.0
19167,96.0
19169,237.0
19175,25.0
19177,25.0
19179,217.0
19183,25.0
19185,25.0
19187,200.0
19191,25.0
19193,830.0
19197,47.0
20001,25.0
20003,12.0
20005,25.0
20007,35.0
20009,81.0
20013,25.0
20015,126.0
20019,25.0
20021,61.0
20023,16.0
20025,43.0
20027,25.0
20029,25.0
20031,25.0
20033,12.0
20035,74.0
20037,100.0
20039,18.0
20041,50.0
20045,148.0
20047,12.0
20051,194.0
20053,20.0
20055,100.0
20057,99.0
20059,44.0
20061,139.0
20063,21.0
20065,20.0
20067,26.0
20071,18.0
20073,25.0
20075,25.0
20077,12.0
20079,163.0
20081,13.0
20083,50.0
20085,12.0
20087,25.0
20089,25.0
20091,1955.0
20093,25.0
20095,25.0
20097,15.0
20099,99.0
20101,25.0
20103,304.0
20105,14.0
20109,25.0
20111,25.0
20113,95.0
20115,25.0
20117,25.0
20119,20.0
20121,245.0
20123,25.0
20125,47.0
20127,25.0
20129,28.0
20131,49.0
20133,25.0
20135,50.0
20137,25.0
20141,25.0
20143,25.0
20145,638.0
20147,25.0
20149,50.0
20151,35.0
20153,24.0
20155,200.0
20157,25.0
20159,25.0
20161,163.0
20163,20.0
20165,25.0
20167,25.0
20169,392.0
20171,25.0
20173,2918.0
20175,69.0
20177,1263.0
20179,18.0
20181,25.0
20183,25.0
20185,25.0
20187,18.0
20189,25.0
20191,25.0
20193,25.0
20195,25.0
20201,50.0
20203,25.0
20205,40.0
20209,1376.0
21003,25.0
21009,180.0
21013,216.0
21015,271.0
21017,58.0
21019,455.0
21021,197.0
21025,55.0
21027,25.0
21033,25.0
21035,152.0
21037,211.0
21041,25.0
21045,24.0
21047,786.0
21049,54.0
21051,49.0
21053,42.0
21055,48.0
21057,25.0
21059,527.0
21065,25.0
21067,2185.0
21069,25.0
21071,224.0
21073,173.0
21081,25.0
21083,107.0
21085,75.0
21087,35.0
21093,465.0
21095,150.0
21097,61.0
21099,25.0
21101,192.0
21107,445.0
21111,3094.0
21115,72.0
21117,707.0
21121,25.0
21125,150.0
21127,90.0
21131,25.0
21133,90.0
21137,25.0
21139,25.0
21141,75.0
21145,1057.0
21151,130.0
21155,75.0
21157,25.0
21161,100.0
21167,25.0
21171,49.0
21173,42.0
21175,25.0
21177,90.0
21179,40.0
21183,25.0
21185,90.0
21193,358.0
21195,453.0
21199,283.0
21203,26.0
21205,149.0
21207,25.0
21209,75.0
21211,70.0
21213,25.0
21217,90.0
21221,25.0
21225,25.0
21227,761.0
21231,25.0
21235,305.0
21239,25.0
22001,170.0
22003,109.0
22005,151.0
22007,15.0
22009,94.0
22011,80.0
22013,21.0
22015,278.0
22017,2241.0
22019,947.0
22021,87.0
22023,49.0
22027,47.0
22029,65.0
22031,34.0
22033,2297.0
22035,23.0
22037,633.0
22039,285.0
22041,37.0
22045,166.0
22047,10.0
22049,25.0
22051,2259.0
22053,92.0
22055,1258.0
22057,240.0
22059,81.0
22061,266.0
22063,0.0
22065,25.0
22067,119.0
22069,117.0
22071,2209.0
22073,1033.0
22077,26.0
22079,1129.0
22081,37.0
22083,63.0
22085,48.0
22087,40.0
22089,59.0
22091,25.0
22093,44.0
22095,82.0
22097,257.0
22099,43.0
22101,186.0
22103,1132.0
22105,516.0
22109,567.0
22111,35.0
22113,95.0
22115,134.0
22117,117.0
22119,219.0
22123,30.0
22125,25.0
22127,60.0
23001,483.0
23003,228.0
23005,1121.0
23007,70.0
23009,114.0
23011,594.0
23013,99.0
23015,25.0
23017,75.0
23019,773.0
23021,50.0
23025,50.0
23027,25.0
23029,50.0
23031,229.0
24001,279.0
24003,634.0
24005,1965.0
24009,73.0
24013,683.0
24015,175.0
24017,99.0
24019,80.0
24021,269.0
24023,26.0
24025,243.0
24027,225.0
24029,12.0
24031,2166.0
24033,661.0
24037,93.0
24041,97.0
24043,362.0
24045,391.0
24047,40.0
24510,4284.0
25001,430.0
25003,323.0
25005,1185.0
25007,25.0
25009,1096.0
25011,89.0
25013,1537.0
25015,285.0
25017,3618.0
25019,14.0
25021,1527.0
25023,1148.0
25025,6677.0
25027,2203.0
26003,11.0
26005,68.0
26007,124.0
26011,25.0
26013,15.0
26015,25.0
26017,387.0
26019,8.0
26021,259.0
26023,71.0
26025,557.0
26027,25.0
26029,25.0
26033,82.0
26035,49.0
26037,66.0
26039,71.0
26041,25.0
26043,66.0
26045,45.0
26047,202.0
26049,1151.0
26051,25.0
26053,25.0
26055,425.0
26057,67.0
26059,65.0
26061,61.0
26063,98.0
26065,913.0
26067,22.0
26069,47.0
26071,25.0
26073,118.0
26075,501.0
26077,989.0
26079,8.0
26081,1796.0
26087,183.0
26091,113.0
26093,107.0
26095,25.0
26097,15.0
26099,1229.0
26101,45.0
26103,204.0
26105,45.0
26107,49.0
26111,308.0
26115,217.0
26117,148.0
26121,227.0
26123,25.0
26125,4386.0
26127,24.0
26129,88.0
26131,25.0
26133,25.0
26137,46.0
26139,309.0
26145,610.0
26147,375.0
26149,144.0
26151,65.0
26153,12.0
26155,107.0
26157,168.0
26159,74.0
26161,2073.0
26163,6217.0
26165,49.0
27001,25.0
27003,746.0
27005,87.0
27007,134.0
27011,40.0
27013,272.0
27015,78.0
27017,105.0
27019,109.0
27021,5.0
27023,30.0
27025,61.0
27029,48.0
27031,16.0
27033,26.0
27035,220.0
27037,244.0
27041,143.0
27043,43.0
27047,159.0
27049,83.0
27051,10.0
27053,7520.0
27057,50.0
27059,86.0
27061,104.0
27063,20.0
27065,49.0
27067,136.0
27069,15.0
27071,25.0
27073,32.0
27075,25.0
27077,15.0
27079,15.0
27081,44.0
27083,74.0
27085,115.0
27087,18.0
27089,12.0
27091,57.0
27093,35.0
27095,28.0
27097,49.0
27101,25.0
27103,73.0
27105,48.0
27107,14.0
27109,2136.0
27111,149.0
27113,42.0
27115,30.0
27117,44.0
27119,92.0
27121,34.0
27123,1925.0
27127,25.0
27129,16.0
27131,49.0
27133,28.0
27135,25.0
27137,1121.0
27139,142.0
27141,54.0
27143,20.0
27145,590.0
27147,43.0
27149,49.0
27151,36.0
27153,71.0
27155,25.0
27157,25.0
27159,124.0
27161,35.0
27163,183.0
27165,50.0
27167,25.0
27169,49.0
27171,106.0
27173,55.0
28001,159.0
28003,200.0
28005,25.0
28007,25.0
28011,164.0
28013,25.0
28017,84.0
28019,25.0
28021,32.0
28023,25.0
28025,49.0
28027,181.0
28029,25.0
28031,35.0
28033,514.0
28035,542.0
28037,25.0
28039,48.0
28041,7.0
28043,156.0
28045,102.0
28047,1797.0
28049,2637.0
28051,25.0
28059,435.0
28061,16.0
28063,30.0
28065,35.0
28067,285.0
28069,25.0
28071,217.0
28073,261.0
28075,988.0
28077,25.0
28079,25.0
28081,700.0
28083,208.0
28085,99.0
28087,315.0
28089,67.0
28091,49.0
28093,40.0
28095,130.0
28097,25.0
28099,68.0
28101,25.0
28103,25.0
28105,96.0
28107,112.0
28109,84.0
28111,22.0
28113,191.0
28115,25.0
28117,114.0
28121,2055.0
28123,35.0
28125,29.0
28127,99.0
28129,29.0
28131,25.0
28133,138.0
28135,18.0
28139,25.0
28141,48.0
28145,153.0
28147,25.0
28149,396.0
28151,266.0
28153,80.0
28155,38.0
28159,41.0
28161,26.0
28163,25.0
29001,93.0
29005,18.0
29007,70.0
29009,43.0
29011,25.0
29013,60.0
29019,1184.0
29021,501.0
29023,253.0
29027,75.0
29029,130.0
29031,580.0
29033,25.0
29037,106.0
29039,41.0
29047,769.0
29049,58.0
29051,268.0
29055,35.0
29065,55.0
29071,148.0
29073,24.0
29075,35.0
29077,1748.0
29079,22.0
29081,19.0
29083,110.0
29091,139.0
29093,15.0
29095,3116.0
29097,25.0
29099,321.0
29101,62.0
29105,58.0
29107,32.0
29109,53.0
29113,25.0
29115,25.0
29117,25.0
29121,25.0
29123,144.0
29127,99.0
29145,659.0
29147,81.0
29155,167.0
29157,25.0
